Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
NH-6,236.90967624107896,2017.0617403448366,-987.9579798509664,-644.818035118673,1592.622679282506,3138.4821203571905,-9889.076071561083,1755.0089275719597,-742.501579737872,4200.086662142373,Other
NCO2,-27495.388270682302,14366.3404540076,9984.473610868254,11450.792440541536,-17556.213568294752,-6117.6729501372665,1289.5104014122544,-7807.172583080259,-1363.1304368911449,-3581.7085946547977,Other
NCI-H3255,3273.9513753248534,5230.084989325788,-4703.628088787111,-3569.1548527521754,5490.334286396637,1214.1755669950458,2606.7371076419986,5395.686592639978,675.9626930336257,-2701.7805498818016,Other
NCI-H358,7129.482089166104,-3830.98316827518,-2421.74813821373,-1173.9993877504821,1137.1668621158776,-406.20843481769884,-1883.4176807182253,954.2673272282839,76.23910619530153,836.127017421506,Other
NCI-H441,-4411.137798595707,-3374.6124814414015,-2666.529984007767,-1023.3887599108333,1435.7255650920101,437.82715530523814,-7071.982007898234,602.8758290758855,-331.9711271256236,617.2752422678892,Other
NCI-H446,-1353.3127008124352,-11233.062679523771,1334.0640056907603,2541.635805560904,-3481.9760879438572,329.3897534964973,865.3465728024147,2520.7721653585,324.26858666679385,-2348.548476352449,Other
NCI-H460,-3441.0680689023707,3776.060420527199,-267.372469314418,947.2498695023104,-2441.6646439383067,-1499.4635229363912,4796.958821629656,3547.294753861927,-255.16970120968034,1041.207422339757,Other
NCI-H508,64666.668073681685,-6062.3470798779135,4879.952631399716,4218.849932287127,-6451.354463123268,-3236.987357172688,7814.715808314039,-3247.736268202595,-922.0381424373913,10647.99566971524,Other
NCI-H510A,-7034.163162400055,13530.98142988018,677.9128704270793,424.71980115971434,228.94857703021492,3403.882695919889,-10180.790177798588,4737.534855001739,-959.3449972819268,5246.0305935233255,Other
NCI-H520,-19374.31982095175,-4519.265703077394,674.3530194747153,2062.4469869844092,-3307.1454370531483,1100.2089656789392,-6309.607360674847,2677.2199972759995,-745.8706178284309,2021.2229428806959,Other
NCI-H522,-22979.965120859615,12887.780273718385,329.1306855020222,1557.9929808916536,-3319.640262858913,-2019.572544062352,-2950.07359378917,-464.815644431266,1143.504776555535,-8271.283544865415,Other
NCI-H524,-18373.900763046004,-1277.9739330929747,2918.497270312477,3820.02408189452,-5582.134497155614,1432.7095735658736,-6650.95673751044,4961.326167855756,-283.2104312946715,1622.867706012015,Other
NCI-H526,-19115.945801901267,8976.951349322942,-1290.5897195260502,-1141.7816619524851,2532.7026047503655,5179.456812135069,-10794.106816357144,9210.46068836254,-196.52483526353612,3640.6057971624277,Other
NCI-H596,-11059.064410931978,5705.800736828055,-7076.367574763548,-5662.2162506020495,7822.458212115092,640.0487969434672,9124.006670769893,5445.420674110601,1139.4660851916783,-278.77734782429025,Other
NCI-H647,13792.451056489143,-218.55135159219705,-3024.4905725733092,-1700.7442067852755,1711.7561044040212,-1496.1299587923181,2415.798217536819,-1642.075393357621,-168.04247356329896,-4332.803497026356,Other
NCI-H650,-15595.553607246464,10799.425077589147,-1777.6211258015683,-14.757008061534217,-760.9526272382307,-2550.1762062444977,2203.167886171986,184.86157407625797,176.20664183597398,-2445.112115170172,Other
NCI-H660,7334.733972990245,-2064.074682336955,-1174.315696678829,-1214.7302270362782,2091.806752558844,2795.5498199157078,-7808.822324389691,-83.7875105331636,-1093.589879696732,9122.365323081536,Other
