Cell line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,CellLine
OE33,6413.247873992557,-3164.5878525337475,1068.6782047465224,2956.0312649318657,-3549.2900684739147,-1158.8512779494117,-1606.261394098619,623.8081140762657,899.8908738035021,4267.38366401955,Other
OELE,1229.012627382704,-3856.963835653681,-4471.235485288141,8585.382392096311,-2419.6167791137595,2609.0944970307883,-5632.619642023797,1696.5998227305197,-1083.8341457555164,-1200.7250929306524,Other
ONCO-DG-1,44230.03984719911,-17575.906971900622,296.90372192695673,-11172.716634667362,8652.90729154899,-722.6971327758393,12340.516278290215,2495.1810761389,-7922.156937238259,-1972.931485825689,Other
ONS-76,47866.62964844063,-943.3507995897825,3314.521672454063,2483.302565925984,-8763.935680238128,-13496.915716003361,3849.5339868826522,2138.2961963631647,-6943.694958420138,-1766.9287063003985,Other
OPM-1,5268.6959314162505,-9599.591019851687,4863.607790715266,-12044.941776051277,3115.2794132289805,5377.489603520757,-501.47686610533043,2161.295237936751,1704.6636236156057,-1975.8851845938116,Other
OPM-2,-8129.740061095118,-6957.165250368918,9648.225332588308,-1860.588720843825,855.8410824488057,-5401.31318938785,2553.932152970667,-3190.483067098291,-1336.0213431573613,-4365.885036458812,Other
OS-RC-2,5738.065444961425,-4109.348048800221,-13291.944665065837,-5081.373058458672,-3105.819406077011,2255.6881507498715,-4146.753101728802,731.2295246379676,-1233.5879140862405,-114.54587282281743,Other
OCI-Ly3,568.6817540165661,-16944.813692523814,15004.0458434382,2668.1004290002884,1822.5688382242583,4577.150089211997,-2999.3933390707366,691.4801003001099,-922.7672493724992,-3065.3635516002446,Other
NHAHTDD,-11693.724135579203,-6120.661664018248,-16544.635528682666,455.3102071028499,-4118.430108040968,5797.813433268574,-2193.8379509982365,4141.0733254603865,-5218.720058028274,-2267.008930261675,Other
NH-6,197.8239789455288,2010.760843261252,-1924.2478440888779,-10613.322195639605,1021.0593404359935,-4689.395440628788,-5844.7251400458845,1841.0906547470806,-80.45223556458805,-764.3359810102223,Other
NCO2,-27511.204427743443,14567.711154658093,23041.20067776991,3684.0595684305936,-7890.377863564358,4231.730863327693,-2798.490616974969,-644.8508143617678,-1705.1400410519066,-6761.1284059706495,Other
NCI-H3255,3155.226956473001,5043.918765504845,-8228.614438734467,1633.7837077037334,5571.932482661989,2746.540800613343,-7958.483574696577,-1047.179476820195,2151.604077455732,6159.4556870927045,Other
NCI-H358,7057.965210123586,-3905.145670020805,-2619.2064034160503,-1708.8033787608758,5.747229173298895,-313.7638894497008,2338.5283630436643,2095.7263079725276,-1551.6146919293626,6087.26858348536,Other
NCI-H441,-4506.410410302529,-3491.9078268665016,-2770.312040363856,-6981.260019529407,-915.3375244554463,62.83998122719114,1386.2740549988396,-1533.7359311821592,-1940.0867291981715,7864.38917210229,Other
NCI-H446,-1396.9823521383162,-11192.47244530364,4592.220731640898,452.5974099687989,2902.2458014220874,1841.1783743635976,-8328.712868468432,2149.071825112152,5281.471367064097,-888.9462723407012,Other
NCI-H460,-3513.713137268304,3756.7450883259344,2011.7141144290126,4814.047545683656,3550.7453155042517,-552.22762406692,2898.432191842605,-7193.767188266743,1611.1503070162482,-2251.9643690983985,Other
NCI-H508,64658.321814947485,-5921.767355648523,9159.560017283055,8655.503569826014,-3035.475201093941,-10063.723690122528,16886.573780747814,-140.52082035156596,-3165.5287928895164,109.17057406543205,Other
NCI-H510A,-7096.776508265441,13557.091363490714,269.5699964176892,-11277.60498658987,3773.09326697715,-5567.661163258187,-4134.889725962895,397.987062268198,174.37376060373666,1211.177181474876,Other
